,Open,High,Low,Close,Volume,Turnover
04-Jul-2017,     9645.90,     9650.65,     9595.50,     9613.30,      149313755,         7774.69
05-Jul-2017,     9619.75,     9643.65,     9607.35,     9637.60,      134849476,         7311.10
06-Jul-2017,     9653.60,     9700.70,     9639.95,     9674.55,      152001940,         7539.21
07-Jul-2017,     9670.35,     9684.25,     9642.65,     9665.80,      146232151,         8514.53
10-Jul-2017,     9719.30,     9782.15,     9646.45,     9771.05,       40142973,         1920.78
11-Jul-2017,     9797.45,     9830.05,     9778.85,     9786.05,      185322358,         9908.41
12-Jul-2017,     9807.30,     9824.95,     9787.70,     9816.10,      150045594,         7966.44
13-Jul-2017,     9855.80,     9897.25,     9853.45,     9891.70,      186866752,        10244.56
14-Jul-2017,     9913.30,     9913.30,     9845.45,     9886.35,      164456602,         9187.71
17-Jul-2017,     9908.15,     9928.20,     9894.70,     9915.95,      168596771,         8310.48
18-Jul-2017,     9832.70,     9885.35,     9792.05,     9827.15,      303007860,        13184.22
19-Jul-2017,     9855.95,     9905.05,     9851.65,     9899.60,      206376192,        10935.60
20-Jul-2017,     9920.20,     9922.55,     9863.45,     9873.30,      166083004,         8942.56
21-Jul-2017,     9899.60,     9924.70,     9838.00,     9915.25,      193286125,        11860.28
24-Jul-2017,     9936.80,     9982.05,     9919.60,     9966.40,      179905535,        10837.20
25-Jul-2017,    10010.55,    10011.30,     9949.10,     9964.55,      191206247,        10491.32
26-Jul-2017,     9983.65,    10025.95,     9965.95,    10020.65,      203697844,        11403.30
27-Jul-2017,    10063.25,    10114.85,    10005.50,    10020.55,      296782048,        18601.99
28-Jul-2017,     9996.55,    10026.05,     9944.50,    10014.50,      197491415,        11996.80
31-Jul-2017,    10034.70,    10085.90,    10016.95,    10077.10,      245096535,        13131.89
01-Aug-2017,    10101.05,    10128.60,    10065.75,    10114.65,      190000516,        11515.29
02-Aug-2017,    10136.30,    10137.85,    10054.20,    10081.50,      166463276,         9165.92
03-Aug-2017,    10081.15,    10081.15,     9998.25,    10013.65,      198665837,        10714.10
04-Aug-2017,    10008.60,    10075.25,     9988.35,    10066.40,      184082134,        10397.88
07-Aug-2017,    10074.80,    10088.10,    10046.35,    10057.40,      141566282,         7827.95
08-Aug-2017,    10068.35,    10083.80,     9947.00,     9978.55,      209645343,        10780.41
09-Aug-2017,     9961.15,     9969.80,     9893.05,     9908.05,      174395293,         8831.72
10-Aug-2017,     9872.85,     9892.65,     9776.20,     9820.25,      242820594,        12040.13
11-Aug-2017,     9712.15,     9771.65,     9685.55,     9710.80,      294732998,        13435.56
14-Aug-2017,     9755.75,     9818.30,     9752.10,     9794.15,      201613585,         9486.82
16-Aug-2017,     9825.85,     9903.95,     9773.85,     9897.30,      226269013,        10815.38
17-Aug-2017,     9945.55,     9947.80,     9883.75,     9904.15,      203652311,         9927.47
18-Aug-2017,     9865.95,     9865.95,     9783.65,     9837.40,      253931517,        15636.16
21-Aug-2017,     9864.25,     9884.35,     9740.10,     9754.35,      211627775,        11764.00
22-Aug-2017,     9815.75,     9828.45,     9752.60,     9765.55,      189267122,         9850.89
23-Aug-2017,     9803.05,     9857.90,     9786.75,     9852.50,      173815509,         9961.13
24-Aug-2017,     9881.20,     9881.50,     9848.85,     9857.05,      190398702,        10392.63
28-Aug-2017,     9907.15,     9925.75,     9882.00,     9912.80,      164493772,         9900.06
29-Aug-2017,     9886.40,     9887.35,     9783.75,     9796.05,      178668444,         8469.09
30-Aug-2017,     9859.50,     9909.45,     9850.80,     9884.40,      162704136,         8008.72
31-Aug-2017,     9905.70,     9925.10,     9856.95,     9917.90,      337782004,        14619.43
01-Sep-2017,     9937.65,     9983.45,     9909.85,     9974.40,      162730656,         9314.82
04-Sep-2017,     9984.15,     9988.40,     9861.00,     9912.85,      153369495,         8069.64
05-Sep-2017,     9933.25,     9963.10,     9901.05,     9952.20,      143522342,         7566.62
06-Sep-2017,     9899.25,     9931.55,     9882.55,     9916.20,      153767846,         8926.98
07-Sep-2017,     9945.85,     9964.85,     9917.20,     9929.90,      194626599,         9455.48
08-Sep-2017,     9958.65,     9963.60,     9913.30,     9934.80,      168698771,         8792.49
11-Sep-2017,     9971.75,    10028.65,     9968.80,    10006.05,      178409875,         9545.94
12-Sep-2017,    10056.85,    10097.55,    10028.05,    10093.05,      188248293,         9894.20
13-Sep-2017,    10099.25,    10131.95,    10063.15,    10079.30,      221608053,        10682.41
14-Sep-2017,    10107.40,    10126.50,    10070.35,    10086.60,      232637517,        11047.46
15-Sep-2017,    10062.35,    10115.15,    10043.65,    10085.40,      274799134,        13650.90
18-Sep-2017,    10133.10,    10171.70,    10131.30,    10153.10,      160852680,         8106.66
19-Sep-2017,    10175.60,    10178.95,    10129.95,    10147.55,      193345992,         8796.21
20-Sep-2017,    10160.95,    10171.05,    10134.20,    10141.15,      205605243,        10105.71
21-Sep-2017,    10139.60,    10158.90,    10058.60,    10121.90,      197710666,        11114.28
22-Sep-2017,    10094.35,    10095.05,     9952.80,     9964.40,      233621596,        11941.88
25-Sep-2017,     9960.10,     9960.50,     9816.05,     9872.60,      228206970,        11258.68
26-Sep-2017,     9875.25,     9891.35,     9813.00,     9871.50,      196792799,         9754.02
27-Sep-2017,     9920.60,     9921.05,     9714.40,     9735.75,      206305991,        10127.39
28-Sep-2017,     9736.40,     9789.20,     9687.55,     9768.95,      396874518,        18962.40
29-Sep-2017,     9814.30,     9854.00,     9775.35,     9788.60,      202350211,        11087.11
03-Oct-2017,     9893.30,     9895.40,     9831.05,     9859.50,      167833406,         9698.55
04-Oct-2017,     9884.35,     9938.30,     9850.65,     9914.90,      160993982,         8790.29
05-Oct-2017,     9927.00,     9945.95,     9881.85,     9888.70,      152362417,         7823.55
06-Oct-2017,     9908.15,     9989.35,     9906.60,     9979.70,      201858899,         9986.18
09-Oct-2017,     9988.20,    10015.75,     9959.45,     9988.75,      148395842,         7425.19
10-Oct-2017,    10013.70,    10034.00,    10002.30,    10016.95,      153246570,         8055.50
11-Oct-2017,    10042.60,    10067.25,     9955.80,     9984.80,      195593061,        10227.90
12-Oct-2017,    10011.20,    10104.45,     9977.10,    10096.40,      207106672,        10579.80
13-Oct-2017,    10123.70,    10191.90,    10120.10,    10167.45,      237230047,        12379.80
16-Oct-2017,    10207.40,    10242.95,    10175.10,    10230.85,      209327364,        11774.68
17-Oct-2017,    10227.65,    10251.85,    10212.60,    10234.45,      201782377,        10422.81
18-Oct-2017,    10209.40,    10236.45,    10175.75,    10210.85,      262111790,        13177.83
19-Oct-2017,    10210.35,    10211.95,    10123.35,    10146.55,       31086379,         1685.16
23-Oct-2017,    10176.65,    10224.15,    10124.50,    10184.85,      224799211,        12144.31
24-Oct-2017,    10218.55,    10237.75,    10182.40,    10207.70,      223914325,        11539.73
25-Oct-2017,    10321.15,    10340.55,    10240.90,    10295.35,      612620774,        25922.51
26-Oct-2017,    10291.80,    10355.65,    10271.85,    10343.80,      443036008,        23135.46
27-Oct-2017,    10362.30,    10366.15,    10311.30,    10323.05,      322411410,        15149.90
30-Oct-2017,    10353.85,    10384.50,    10344.30,    10363.65,      244193178,        12558.70
31-Oct-2017,    10364.90,    10367.70,    10323.95,    10335.30,      239809700,        12830.06
01-Nov-2017,    10390.35,    10451.65,    10383.05,    10440.50,      268270466,        14206.21
02-Nov-2017,    10440.50,    10453.00,    10412.55,    10423.80,      207735021,        10779.63
03-Nov-2017,    10461.55,    10461.70,    10403.60,    10452.50,      206101238,        10070.83
06-Nov-2017,    10431.75,    10490.45,    10413.75,    10451.80,      199559409,        10231.76
07-Nov-2017,    10477.15,    10485.75,    10340.80,    10350.15,      295830692,        16182.46
08-Nov-2017,    10361.95,    10384.25,    10285.50,    10303.15,      282950322,        14789.39
09-Nov-2017,    10358.65,    10368.45,    10266.95,    10308.95,      247606613,        12697.28
10-Nov-2017,    10304.35,    10344.95,    10254.10,    10321.75,      287962940,        14682.60
13-Nov-2017,    10322.00,    10334.15,    10216.25,    10224.95,      216799588,        11783.34
14-Nov-2017,    10223.40,    10248.00,    10175.55,    10186.60,      314413476,        15398.97
15-Nov-2017,    10171.95,    10175.45,    10094.00,    10118.05,      213836202,        11609.18
16-Nov-2017,    10152.90,    10232.25,    10139.20,    10214.75,      188180035,         9995.55
17-Nov-2017,    10324.55,    10343.60,    10268.05,    10283.60,      209592893,        11023.35
20-Nov-2017,    10287.20,    10309.85,    10261.50,    10298.75,      151751415,         8502.63
21-Nov-2017,    10329.25,    10358.70,    10315.05,    10326.90,      191859084,        10443.99
22-Nov-2017,    10350.80,    10368.70,    10309.55,    10342.30,      162504058,         9136.04
23-Nov-2017,    10358.45,    10374.30,    10307.30,    10348.75,      157651842,         8789.42
24-Nov-2017,    10366.80,    10404.50,    10362.25,    10389.70,      133177324,         8197.66
27-Nov-2017,    10361.05,    10407.15,    10340.20,    10399.55,      146276512,         7551.71
28-Nov-2017,    10387.90,    10409.55,    10355.20,    10370.25,      202050866,         9979.25
29-Nov-2017,    10376.65,    10392.95,    10345.90,    10361.30,      157192930,         8852.80
30-Nov-2017,    10332.70,    10332.70,    10211.25,    10226.55,      353105240,        19005.56
01-Dec-2017,    10263.70,    10272.70,    10108.55,    10121.80,      147765528,         8518.58
04-Dec-2017,    10175.05,    10179.20,    10095.70,    10127.75,      153240126,         8458.66
05-Dec-2017,    10118.25,    10147.95,    10069.10,    10118.25,      160253042,         8749.09
06-Dec-2017,    10088.80,    10104.20,    10033.35,    10044.10,      171208366,         9598.82
07-Dec-2017,    10063.45,    10182.65,    10061.90,    10166.70,      171339022,         9910.28
08-Dec-2017,    10198.45,    10270.85,    10195.25,    10265.65,      206234019,        11468.15
11-Dec-2017,    10310.50,    10329.20,    10282.05,    10322.25,      152034656,         8453.76
12-Dec-2017,    10324.90,    10326.10,    10230.20,    10240.15,      180546894,        10380.24
13-Dec-2017,    10236.60,    10296.55,    10169.85,    10192.95,      187191964,        10070.44
14-Dec-2017,    10229.30,    10276.10,    10141.55,    10252.10,      159103960,         9549.23
15-Dec-2017,    10345.65,    10373.10,    10319.65,    10333.25,      262974703,        15106.77
18-Dec-2017,    10263.10,    10443.55,    10074.80,    10388.75,      237506982,        12921.61
19-Dec-2017,    10414.80,    10472.20,    10406.00,    10463.20,      174340665,        10982.95
20-Dec-2017,    10494.40,    10494.45,    10437.15,    10444.20,      180597460,        11303.00
21-Dec-2017,    10473.95,    10473.95,    10426.90,    10440.30,      156646972,         9411.20
22-Dec-2017,    10457.30,    10501.10,    10448.25,    10493.00,      143119167,         8755.32
26-Dec-2017,    10512.30,    10545.45,    10477.95,    10531.50,      160417384,         9043.77
27-Dec-2017,    10531.05,    10552.40,    10469.25,    10490.75,      170307122,         9077.60
28-Dec-2017,    10498.20,    10534.55,    10460.45,    10477.90,      281309989,        14551.58
29-Dec-2017,    10492.35,    10538.70,    10488.65,    10530.70,      156736221,         8943.10
01-Jan-2018,    10531.70,    10537.85,    10423.10,    10435.55,      134532090,         7546.56
02-Jan-2018,    10477.55,    10495.20,    10404.65,    10442.20,      158092430,         8665.47
03-Jan-2018,    10482.65,    10503.60,    10429.55,    10443.20,      172516859,         9541.60
04-Jan-2018,    10469.40,    10513.00,    10441.45,    10504.80,      180257392,         9561.95
05-Jan-2018,    10534.25,    10566.10,    10520.10,    10558.85,      186469717,        10306.22
08-Jan-2018,    10591.70,    10631.20,    10588.55,    10623.60,      174181231,         9907.27
09-Jan-2018,    10645.10,    10659.15,    10603.60,    10637.00,      211291563,        10733.37
10-Jan-2018,    10652.05,    10655.50,    10592.70,    10632.20,      181900014,         9720.65
11-Jan-2018,    10637.05,    10664.60,    10612.35,    10651.20,      158630055,         9635.01
12-Jan-2018,    10682.55,    10690.40,    10597.10,    10681.25,      180592153,        11005.12
15-Jan-2018,    10718.50,    10782.65,    10713.80,    10741.55,      181262074,        11333.11
16-Jan-2018,    10761.50,    10762.35,    10687.85,    10700.45,      217468081,        12709.44
17-Jan-2018,    10702.45,    10803.00,    10666.75,    10788.55,      260488465,        14334.26
18-Jan-2018,    10873.40,    10887.50,    10782.40,    10817.00,      321609375,        17930.30
19-Jan-2018,    10829.20,    10906.85,    10793.90,    10894.70,      214011963,        11792.26
22-Jan-2018,    10883.20,    10975.10,    10881.40,    10966.20,      238815813,        14469.06
23-Jan-2018,    10997.40,    11092.90,    10994.55,    11083.70,      293445774,        16423.91
24-Jan-2018,    11069.35,    11110.10,    11046.15,    11086.00,      292197072,        16915.14
25-Jan-2018,    11095.60,    11095.60,    11009.20,    11069.65,      340469462,        19939.54
29-Jan-2018,    11079.35,    11171.55,    11075.95,    11130.40,      249220726,        16118.36
30-Jan-2018,    11120.85,    11121.10,    11033.90,    11049.65,      234969503,        13232.19
31-Jan-2018,    11018.80,    11058.50,    10979.30,    11027.70,      253462573,        14459.69
01-Feb-2018,    11044.55,    11117.35,    10878.80,    11016.90,      315743486,        17719.40
02-Feb-2018,    10938.20,    10954.95,    10736.10,    10760.60,      291431992,        16542.51
05-Feb-2018,    10604.30,    10702.75,    10586.80,    10666.55,      247479157,        13980.63
06-Feb-2018,    10295.15,    10594.15,    10276.30,    10498.25,      274656443,        15606.34
07-Feb-2018,    10607.20,    10614.00,    10446.40,    10476.70,      258095424,        13971.66
08-Feb-2018,    10518.50,    10637.80,    10479.55,    10576.85,      239407938,        12569.23
09-Feb-2018,    10416.50,    10480.20,    10398.20,    10454.95,      197502912,        10602.15
12-Feb-2018,    10518.20,    10555.50,    10485.40,    10539.75,      224114801,        11133.78
14-Feb-2018,    10585.75,    10590.55,    10456.65,    10500.90,      236329440,        12188.94
15-Feb-2018,    10537.90,    10618.10,    10511.05,    10545.50,      217090245,        11035.38
16-Feb-2018,    10596.20,    10612.90,    10434.05,    10452.30,      190043189,        10026.71
19-Feb-2018,    10488.90,    10489.35,    10302.75,    10378.40,      193087737,         9871.36
20-Feb-2018,    10391.00,    10429.35,    10347.65,    10360.40,      193464871,         9619.95
21-Feb-2018,    10426.00,    10426.10,    10349.60,    10397.45,      241331542,        12996.36
22-Feb-2018,    10354.35,    10397.55,    10340.65,    10382.70,      323259078,        17711.46
23-Feb-2018,    10408.10,    10499.10,    10396.65,    10491.05,      217134363,        12704.32
26-Feb-2018,    10526.55,    10592.95,    10520.20,    10582.60,      177238616,        10274.89
27-Feb-2018,    10615.20,    10631.65,    10537.25,    10554.30,      193250158,        10276.42
28-Feb-2018,    10488.95,    10535.50,    10461.55,    10492.85,      294794221,        16299.11
01-Mar-2018,    10479.95,    10525.50,    10447.15,    10458.35,      181378504,        10179.48
05-Mar-2018,    10428.30,    10428.70,    10323.90,    10358.85,      199975720,        10673.92
06-Mar-2018,    10420.50,    10441.35,    10215.90,    10249.25,      229782297,        12143.95
07-Mar-2018,    10232.95,    10243.35,    10141.55,    10154.20,      257200599,        12128.88
08-Mar-2018,    10216.25,    10270.35,    10146.40,    10242.65,      233377712,        11479.51
09-Mar-2018,    10271.30,    10296.70,    10211.90,    10226.85,      192333334,         9874.81
12-Mar-2018,    10301.60,    10433.65,    10295.45,    10421.40,      223135459,        10968.95
13-Mar-2018,    10389.50,    10478.60,    10377.85,    10426.85,      274852794,        23965.25
14-Mar-2018,    10393.05,    10420.35,    10336.30,    10410.90,      186991169,         9564.68
15-Mar-2018,    10405.45,    10420.00,    10346.20,    10360.15,      179308593,         8588.01
16-Mar-2018,    10345.15,    10346.30,    10180.25,    10195.15,      338702439,        18811.97
19-Mar-2018,    10215.35,    10224.55,    10075.30,    10094.25,      216670033,        11111.43
20-Mar-2018,    10051.55,    10155.65,    10049.10,    10124.35,      209327593,        10947.12
21-Mar-2018,    10181.95,    10227.30,    10132.95,    10155.25,      211060429,        11269.73
22-Mar-2018,    10167.50,    10207.85,    10105.40,    10114.75,      237632983,        11558.88
23-Mar-2018,     9968.80,    10027.70,     9951.90,     9998.05,      294515154,        14435.17
26-Mar-2018,     9989.15,    10143.50,     9958.55,    10130.65,      270665332,        12695.47
27-Mar-2018,    10188.00,    10207.90,    10139.65,    10184.15,      232713976,        11175.79
28-Mar-2018,    10143.60,    10158.35,    10096.90,    10113.70,      354977198,        18807.48
02-Apr-2018,    10151.65,    10220.10,    10127.75,    10211.80,      223135459,        10968.95
03-Apr-2018,    10186.85,    10255.35,    10171.05,    10245.00,      211652029,        10167.12
04-Apr-2018,    10274.60,    10279.85,    10111.30,    10128.40,      238182921,        11861.79
05-Apr-2018,    10228.45,    10331.80,    10227.45,    10325.15,      244116235,        11674.92
06-Apr-2018,    10322.75,    10350.45,    10290.85,    10331.60,      206355691,        10131.74
09-Apr-2018,    10333.70,    10397.70,    10328.50,    10379.35,      228512954,        10714.13
10-Apr-2018,    10412.90,    10424.85,    10381.50,    10402.25,      259523888,        11905.12
11-Apr-2018,    10428.15,    10428.15,    10355.60,    10417.15,      258077363,        11790.58
12-Apr-2018,    10410.65,    10469.90,    10395.25,    10458.65,      246027888,        12249.66
13-Apr-2018,    10495.30,    10519.90,    10451.45,    10480.60,      219724716,        12354.55
16-Apr-2018,    10398.30,    10540.15,    10396.35,    10528.35,      200950876,        11242.05
17-Apr-2018,    10557.30,    10560.45,    10495.65,    10548.70,      212449535,        10501.71
18-Apr-2018,    10578.90,    10594.20,    10509.70,    10526.20,      211823044,         9888.65
19-Apr-2018,    10563.65,    10572.20,    10546.20,    10565.30,      270740891,        12559.11
20-Apr-2018,    10560.35,    10582.35,    10527.45,    10564.05,      252227268,        15372.66
23-Apr-2018,    10592.80,    10638.35,    10514.95,    10584.70,      200203196,        13642.67
24-Apr-2018,    10578.10,    10636.80,    10569.00,    10614.35,      225972673,        12281.53
25-Apr-2018,    10612.40,    10612.60,    10536.45,    10570.55,      195129613,        11125.11
26-Apr-2018,    10586.50,    10628.40,    10559.65,    10617.80,      345536167,        19200.41
27-Apr-2018,    10651.65,    10719.80,    10647.55,    10692.30,      306671172,        16886.89
30-Apr-2018,    10705.75,    10759.00,    10704.60,    10739.35,      179163468,        10412.57
02-May-2018,    10783.85,    10784.65,    10689.80,    10718.05,      236757172,        14820.58
03-May-2018,    10720.15,    10720.60,    10647.45,    10679.65,      190869804,        11018.21
04-May-2018,    10700.45,    10700.45,    10601.60,    10618.25,      192296041,         9721.56
07-May-2018,    10653.15,    10725.65,    10635.65,    10715.50,      173620240,         9239.44
08-May-2018,    10757.90,    10758.55,    10689.40,    10717.80,      278118616,        12783.49
09-May-2018,    10693.35,    10766.25,    10689.85,    10741.70,      222115640,        10390.92
10-May-2018,    10779.65,    10785.55,    10705.00,    10716.55,      197988475,        10526.38
11-May-2018,    10741.95,    10812.05,    10724.45,    10806.50,      209392114,        10432.43
14-May-2018,    10815.15,    10834.85,    10774.75,    10806.60,      176697512,         9075.44
15-May-2018,    10812.60,    10929.20,    10781.40,    10801.85,      262202312,        13582.70
16-May-2018,    10751.95,    10790.45,    10699.70,    10741.10,      238221884,        11359.48
17-May-2018,    10775.60,    10777.25,    10664.50,    10682.70,      220738923,        12506.30
18-May-2018,    10671.85,    10674.95,    10589.10,    10596.40,      229908939,        13908.47
